bookID,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher
0,Fully-configurable 4thgeneration interface,Tommy Holland,20,1-63527-226-2,978-1-200-59779-8,unm,548,69322,188,2021-11-08,Anderson LLC
1,Open-source zero-defect neural-net,Scott Diaz,68,0-247-57483-X,978-1-75785-265-4,ve,313,2860,608,2022-06-05,"Murphy, Ortiz and Johnston"
2,Balanced regional throughput,Krystal Cooke,32,1-4998-3786-0,978-1-71379-706-7,my,52,73735,381,2020-11-10,Wagner-Alvarez
3,Robust optimal focus group,Beth Pitts,32,1-56761-345-4,978-1-55146-393-3,ln,821,56581,361,2022-03-11,Wilson-Taylor
4,Managed needs-based Graphical User Interface,Eileen Mendoza,53,1-74740-249-4,978-0-382-29256-9,gd,882,95264,507,2022-06-23,Scott Ltd
5,Fundamental scalable support,Alyssa Wall,85,0-7639-8772-7,978-1-4102-4065-1,om,204,43224,354,2020-10-20,Paul PLC
6,Fully-configurable bifurcated intranet,Brian Keith,50,1-56267-041-7,978-0-13-536992-0,bn,850,45613,333,2020-01-08,Klein and Sons
7,Diverse zero tolerance support,Christopher Booth,21,1-70122-395-3,978-0-8390-5250-0,doi,364,76537,486,2022-07-12,Barajas-Greer
8,Multi-lateral modular Internet solution,Angelica Ortiz,55,1-5165-7587-3,978-0-19-648968-1,nan,275,70651,977,2022-11-11,Gibbs-Ingram
9,Reduced tangible emulation,Paul Brewer,6,0-8314-7854-3,978-1-345-08502-0,ti,342,47306,427,2022-03-13,"Brewer, Ball and Ellis"
10,Front-line bottom-line project,Darlene Parsons,38,0-433-41385-9,978-1-64132-845-6,he,25,27709,35,2022-03-22,Little-Butler
11,Diverse real-time complexity,Tracy Jenkins,39,1-4621-9265-3,978-1-5274-4646-5,mn,725,60696,513,2021-09-16,Nguyen-Gardner
12,Optional dynamic migration,Kelly Williams,29,1-138-15631-0,978-0-7640-2308-8,tr,50,2963,272,2021-09-23,King LLC
13,Open-architected secondary strategy,Shelby West,89,1-01-735573-8,978-1-936249-63-3,nan,148,23023,18,2020-08-27,Huerta-Cantu
14,Team-oriented actuating leverage,Emma Watts,22,1-882179-84-6,978-1-128-37377-1,lo,970,95620,556,2021-07-25,Woods Group
15,Organized exuding process improvement,Lawrence Baker,5,1-231-70234-6,978-1-67041-026-9,zu,492,96958,960,2021-05-26,Gomez Group
16,Customer-focused 24hour architecture,Justin Crawford,45,0-431-14121-5,978-1-66298-798-4,mni,284,67997,772,2021-04-06,Jefferson-Hill
17,Ergonomic 3rdgeneration hierarchy,Amy Cole,62,1-199-70015-0,978-0-03-832774-4,ks,254,76024,984,2022-02-11,Gonzalez-Bryan
18,Profit-focused cohesive function,Michael Holt,70,0-14-960074-7,978-1-5225-2280-5,nl,580,86381,518,2021-11-14,"Reynolds, Christensen and Patterson"
19,Persistent 6thgeneration Local Area Network,Andrew Aguilar,36,1-59759-122-X,978-1-9748-6440-9,he,395,62541,536,2020-08-24,"Holmes, Weber and Alexander"
20,Down-sized multimedia system engine,Diane Ellison,66,1-4276-3625-7,978-1-07-180001-0,mag,201,43798,795,2020-11-26,Hart Group
21,Inverse fault-tolerant throughput,Andrew Newman,45,0-89423-478-1,978-1-208-75067-6,om,459,41830,379,2022-09-15,Gray and Sons
22,Focused didactic system engine,Mark Taylor,22,1-993213-99-6,978-1-85801-057-1,ku,565,87508,320,2020-01-09,Spencer-Ruiz
23,Digitized systemic approach,Ana Boyd,83,1-4884-2251-6,978-1-07-708191-8,rw,992,93429,570,2022-12-04,Robles and Sons
24,Object-based grid-enabled service-desk,Michael Payne,52,0-471-05728-2,978-0-87634-677-8,el,421,51411,949,2021-06-21,"Gomez, Alexander and Mccann"
25,Virtual modular analyzer,Mrs. Vanessa Rose,68,1-382-37147-0,978-1-76659-996-0,kl,525,6467,38,2022-03-29,Hamilton-Gonzales
26,Compatible zero tolerance access,Mrs. Katherine Smith,53,0-86782-492-1,978-1-58920-302-0,fy,936,60521,854,2022-01-26,"Robertson, Wheeler and Leonard"
27,Programmable modular productivity,Joseph Horn,72,0-319-92707-5,978-0-16-520443-7,bn,323,72937,313,2021-11-30,Boyd-Bartlett
28,Virtual regional algorithm,Michael Kennedy,32,1-392-16799-X,978-0-7599-7883-6,mr,780,73232,83,2021-09-17,"Merritt, Kennedy and Wilson"
29,Configurable explicit model,Denise Hamilton,85,1-288-16360-6,978-1-01-762887-6,si,126,30781,189,2022-09-24,Williams PLC
30,Adaptive context-sensitive paradigm,Tiffany King,81,0-449-84566-4,978-0-11-797804-1,sq,998,43480,678,2023-01-15,Pierce and Sons
31,Triple-buffered web-enabled interface,Don Snyder,78,1-03-792986-1,978-1-307-29892-5,si,977,47009,613,2022-09-01,Hudson and Sons
32,Balanced contextually-based toolset,Kristen Gonzalez,8,0-7582-3398-1,978-1-209-78518-9,fur,94,46869,214,2021-04-27,Webb Ltd
33,Seamless regional adapter,Mrs. Jennifer Cooper DVM,28,1-915618-39-8,978-1-969949-15-9,ast,653,99391,388,2022-07-31,Crane PLC
34,Customer-focused radical product,Emily Blanchard,14,1-374-55185-6,978-0-334-61015-1,nr,128,70366,91,2023-01-20,Parker LLC
35,Distributed secondary installation,Charles Townsend,36,0-8272-9872-2,978-1-4223-9023-8,fil,426,87517,904,2022-06-13,Reed Inc
36,Proactive methodical conglomeration,James Castillo,23,1-01-923182-3,978-0-01-424035-7,lzh,337,36627,860,2021-12-31,Booker-Richard
37,Versatile fresh-thinking functionalities,Karen Gibson,9,0-88717-163-X,978-1-136-95127-5,nds,162,15656,739,2022-10-27,Todd and Sons
38,Synergistic cohesive solution,Andrea Jones,61,1-69344-468-2,978-0-03-724505-6,tk,888,17923,24,2020-02-10,Hickman-Walsh
39,Robust web-enabled Graphical User Interface,Charles Myers,3,1-139-52242-6,978-0-649-31042-5,tig,990,52597,35,2020-02-25,Wolf-Steele
40,Distributed intermediate superstructure,Jennifer Hernandez MD,55,1-82827-711-8,978-1-238-01758-9,doi,175,8694,25,2022-03-26,"Brown, Griffin and Stevens"
41,Reverse-engineered 4thgeneration knowledgebase,Alexandria Ward,0,1-879768-54-2,978-0-8483-8251-3,kw,405,750,687,2022-03-27,Gonzalez-Miller
42,Object-based bi-directional secured line,Sandra Velez,69,0-412-68958-8,978-1-60209-020-0,km,31,33388,924,2022-11-17,Stevens-Cook
43,Enhanced directional website,Kathy Hernandez,26,1-75510-038-8,978-1-5480-4051-2,be,53,86501,319,2022-01-22,"Wilson, Vega and Coleman"
44,Cross-group neutral complexity,Kenneth Hoover,52,0-680-58848-5,978-0-88994-555-5,gez,336,76434,56,2021-04-21,"Wells, Faulkner and Thompson"
45,Focused multi-tasking framework,Sergio Thompson,2,1-4493-8298-3,978-0-389-20530-2,nso,37,25833,823,2020-11-14,"Mcintosh, Hernandez and Scott"
46,Automated bandwidth-monitored software,Sophia Pena,43,0-7207-5481-X,978-1-907188-90-9,tr,27,88952,613,2020-01-10,"Lopez, Mahoney and Barron"
47,Synchronized user-facing system engine,Peter Cordova,36,1-4444-7611-4,978-1-279-92388-7,hi,786,1798,725,2021-10-10,Joyce Group
48,Cross-group executive orchestration,Sara Lambert,45,1-4431-2453-2,978-1-55538-431-9,mi,218,79725,400,2020-02-16,Johnson and Sons
